ticker,accuracy,accuracy_std,f1,n_folds,data_points
pol,0.8684210526315789,0.02483498169496961,0.013333333333333334,3,1239
bop,0.7993421052631579,0.21965705295784935,0.8747010474496816,3,1239
ubl,0.7478070175438596,0.08950351025062508,0.06862745098039215,3,1238
bipl,0.736842105263158,0.22794889656671594,0.823484942920217,2,1237
fccl,0.706140350877193,0.07758789285234423,0.8188708756609809,3,1239
mlcf,0.6896929824561403,0.07814375352016152,0.8040682406445954,3,1239
mebl,0.668859649122807,0.11556934318419333,0.12302125734961555,3,1239
snbl,0.6327950832188121,0.27349545811251486,0.7428574856112583,3,1206
nbp,0.6096491228070174,0.2125298713456999,0.680063089365415,3,1239
fabl,0.6035876613977188,0.12119254886465357,0.7154616430331071,3,1239
ffc,0.5734649122807017,0.1853913438360713,0.16666666666666666,3,1239
ogdc,0.5657894736842105,0.07472247823421416,0.2617442810457516,3,1239
engroh,0.5622222222222222,0.0583412693014448,0.2950819570182353,3,1222
dgkc,0.5504385964912281,0.041652236651803905,0.6560740401732414,3,1239
mcb,0.5504385964912281,0.2138495250039468,0.19922418127286282,3,1239
atrl,0.5383771929824562,0.35079323282754366,0.1987731966767606,3,1239
hbl,0.5372807017543859,0.07284036701860687,0.22169744033913827,3,1239
sys,0.5339912280701754,0.4073682581372357,0.08751553388777362,3,1239
hmb,0.5322222222222223,0.144888207224027,0.4287823536888838,3,1221
akbl,0.5131578947368421,0.298400775557279,0.5314339587932303,3,1238
efert,0.4967105263157894,0.08508234971301028,0.20673226078092455,3,1239
pso,0.48464912280701755,0.25586805476588287,0.27948378796156925,3,1239
ppl,0.4802631578947369,0.047782365283993225,0.39772461679549326,3,1239
abl,0.4732999001648441,0.04080414643282868,0.6028046367983387,3,1198
bahl,0.46491228070175444,0.10362277211694523,0.33033861651747837,3,1239
scbpl,0.45606543048011483,0.04554501015601652,0.49816030578898224,3,1162
